User Name,Handle,TimeStamp,Text,Like,Retweets
Hussain Mirza,@Hussain75037128,2021-11-03T20:20:41.000Z,"Hussain Mirza
@Hussain75037128
·
3m
Replying to 
@harbhajan_singh
 @ImRo45
 and 
@klrahul11
Nobat yaha tk phonchi hai Afghnistan say match fixed kia lanat ho aise khail kay jeetnay say behtr tha haar jaty @teamindiacricket biggest fixer",,0,
Sora,@BeingSora,2021-11-03T20:20:41.000Z,"Sora
@BeingSora
·
3m
His mother is suffering and prays for him to be released. He went into a harsh food strike (105 days) of unfair act against Palastinian ""unfairness imprisonment"" 
#كاريزما88 #fixed #whitewomen #المخدرات_الجديدة #MAMA2021 #TREASURE #RingABelle #ريال_مدريد_شختار #instagramdown
1
1",,0,1
"Jimibear, the Yeti Dragon",@Jimibear42,2021-11-03T20:20:41.000Z,"Jimibear, the Yeti Dragon
@Jimibear42
·
3m
Replying to 
@effystoner420
Haha, I just fixed someone's A11 today.  Heard.",,0,
Sheraz khokhar,@Sherazk1995,2021-11-03T20:20:40.000Z,"Sheraz khokhar
@Sherazk1995
·
3m
Replying to 
@iamamirofficial
Match Fixed ",,0,
Youngking Galaday,@GallaTaj,2021-11-03T20:20:40.000Z,"Youngking Galaday
@GallaTaj
·
3m
https://open.spotify.com/album/5u82yUu2ZeyoxpoVuYmf0i?si=MkB_aioUQT-GTHwTKPr8KA&utm_source=copy-link…

#fixed #Trending #quote #reggaemusic #Glory 
@StreamerWall
 @OfficeSutra
 @VisitsAngel
 @promo_streams
 @sme_rt
 @BlackettPromo
 @Spotify
 @Streamer_Boost
 #reggae #NewWorldMMO #life
2
3",,0,3
Rizwan Ali,@RizwanA0514,2021-11-03T20:20:39.000Z,"Rizwan Ali
@RizwanA0514
·
3m
#WorldCupT20 India VS AFG #fixed Match",,0,
Virat,@VIRAT__IND,2021-11-03T20:20:37.000Z,"Virat
@VIRAT__IND
·
3m
Today Afghanistan team had many instances of misfielding, misfielding is an art that the Pakistanis have mastered over the decades, so according to their logic, every match in the past decade w pak was fixed because they don't know how to play.
#indiancricket #fixed #Pakistani
1",,0,1
Mad Max,@MaxMadness07,2021-11-03T20:20:36.000Z,"Mad Max
@MaxMadness07
·
3m
@shoaib100mph
 You're not always right. #fixed",,0,
Syed Kashif Raza,@KRazaSyed,2021-11-03T20:20:35.000Z,"Syed Kashif Raza
@KRazaSyed
·
3m
Replying to 
@p4pakipower
اس وقت تو
@icc
 کو ٹرینڈ کر کہ شرم دلانا بنتا ہے۔ 
#fixedmatch
#fixed 
@ICC",,0,
fxQ,@Santosh91682440,2021-11-03T20:20:33.000Z,"fxQ
@Santosh91682440
·
3m
FIXED_TRADING_IS_ALIVE 2.33

---
@ 11/03/2021, 16:20:33
FTM",,0,
Fatima butt,@Khadija94388478,2021-11-03T20:20:33.000Z,"Fatima butt
@Khadija94388478
·
3m
#fixed yes fixed well fixed ...itnaa Tou pressure ta only fixed he solution ta fixed",,0,
Talha Khan,@Talhaihsan940,2021-11-03T20:20:32.000Z,"Talha Khan
@Talhaihsan940
·
3m
Awr kia kar sakty hy
""Well Paid India"" #fixed",,0,
NIXIN,@NIXINLITEHOUSE,2021-11-03T20:20:31.000Z,"NIXIN
@NIXINLITEHOUSE
·
3m
Do I let an inconvenience that I’ve already fixed ruin my whole day?? Well it got even more inconvenient so ya",,0,
Cartiz Foden,@CartizF,2021-11-03T20:20:30.000Z,"Cartiz Foden
@CartizF
·
3m
Replying to 
@dallascowboys
Worth investing in he is a legend of himself I never believed in fixed matches until I was referred to the best tipster 
@pierrehugo55
 he is the realest.",,0,
Sebghaaat قریشی,@Sabghat900,2021-11-03T20:20:30.000Z,"Sebghaaat قریشی
@Sabghat900
·
3m
#fixed
GIF
Dennis
@DennisCricket_
 · 5m
Afghanistan took baksheesh",,0,
sayed samiullah,@syydsamiullah,2021-11-03T20:20:29.000Z,"sayed samiullah
@syydsamiullah
·
3m
#fixed match 
but still  will no chance",,0,
Huzaifa Baig,@HuzaifaBaig47,2021-11-03T20:20:28.000Z,"Huzaifa Baig
@HuzaifaBaig47
·
3m
ہم نے افغانستان 
@ACBofficials
 کی ٹیم کو شکست دینے کے بعد حوصلہ افضائی اور عزت دی لیکن شاید یہ اپنے ملک کی عزت اور بھول گئے ہیں اور بھارت 
@BCCI
 کے ہاتھوں اپنی عزت اور سلامتی کو بیچ دیا۔
#fixed",,0,
Muhammad Tahir,@tahir5950,2021-11-03T20:20:28.000Z,"Muhammad Tahir
@tahir5950
·
3m
#fixed  ",,0,
Amarian,@CindyAAvelino,2021-11-03T20:20:27.000Z,"Amarian
@CindyAAvelino
·
3m
Fixed some parts
3
21",,0,21
OnlyJokey,@OnlyJokey,2021-11-03T20:20:27.000Z,"OnlyJokey
@OnlyJokey
·
3m
fixed my twitch trailer https://twitch.tv/videos/1192190118…
:)
twitch.tv
OnlyJokey's Channel Trailer - onlyjokey on Twitch
Twitch is the world's leading video platform and community for gamers.",,0,
ShahaalMalikk,@ISI_5thFloor,2021-11-03T20:20:26.000Z,"ShahaalMalikk
@ISI_5thFloor
·
3m
Replying to 
@Someone91879702
 @ACBofficials
 and 2 others
Afghans sold their country to foreign intruders became their slaves accepted their rule and fought for them against their own countrymen Taliban and this match was fixed world is not blind",,0,
Spinning pedals,@FixedCog,2021-11-03T20:20:25.000Z,"Spinning pedals
@FixedCog
·
3m
Replying to 
@GiveMeSpace3
Does that count as an elliptical reference?",,0,
Ahtesham,@10Ahtesham,2021-11-03T20:20:24.000Z,"Ahtesham
@10Ahtesham
·
3m
Replying to 
@harbhajan_singh
 @klrahul11
 and 5 others
match was fixed",,0,
Shafiq-ur-Rehman,@xhafiq1,2021-11-03T20:20:20.000Z,"Shafiq-ur-Rehman
@xhafiq1
·
3m
Replying to 
@Kashifabbasiary
#fixed",,0,
Robert Dallenger,@Rob3768,2021-11-03T20:20:19.000Z,"Robert Dallenger
@Rob3768
·
3m
Replying to 
@SkyHelpTeam
Hope it’s quicker than you took to sort out a simple clock, but I don’t imagine it will be fixed for tonight’s fixtures unfortunately. Sorry to say this but your as a continuous customer for almost 30 years, your current customer service is the worst I’ve ever known it.",,0,
Zakir Khan,@ZakirKhttakPTI,2021-11-03T20:20:19.000Z,"Zakir Khan
@ZakirKhttakPTI
·
3m
#fixed #fixedmatch #INDvsAFG",,0,
ilyaK,@Kaylimity,2021-11-03T20:20:15.000Z,"ilyaK
@Kaylimity
·
4m
nvm fixed it had to regedit that shit lmao",,0,
Ｒａｎａ Ｓｈａｈａｂ,@ranashahab02,2021-11-03T20:20:13.000Z,"Ｒａｎａ Ｓｈａｈａｂ
@ranashahab02
·
4m
Replying to 
@wajahatwrites10
Pakistanis are trying their best to tell the #taaliban  about their acting so that they can arrange an award show for them in advance.
#viratkholi #INDvsAFG #ICCT20WorldCup2021 #fixed #fixing #fixedmatch #WELLPAIDINDIA",,0,
Pakistan Affairs,@PakistanAffairz,2021-11-03T20:20:12.000Z,"Pakistan Affairs
@PakistanAffairz
·
4m
Yup this is the India who use to perform against low rank teams but today all time low as they fixed Afghan Cricket team instead of fixing Indian cricket team shortcomings.
VVS Laxman
@VVSLaxman281
 · 2h
This is the India we have come to know and love. Powerhouse batting display full of intent and aggression, smart decision-making and outstanding finish to the innings after the magnificent opening stand. One down, two more to go. #INDvsAFG #T20WorldCup",,0,
Julie Banfill,@JulieBanfill1,2021-11-03T20:20:12.000Z,"Julie Banfill
@JulieBanfill1
·
4m
Replying to 
@pulte
I hope you help me today!!! But if you don’t I’ll keep having positive thoughts and keep having that I can get my car fixed and I can get a job. Your amazing how your heart is so big& there should be more people like you in the world",,0,
Waqas Ahmad,@WaqasAh2002,2021-11-03T20:20:12.000Z,"Waqas Ahmad
@WaqasAh2002
·
4m
Ind vs Afg 
#fixed",,0,
Angela Lugo,@AngelaL21983554,2021-11-03T20:20:12.000Z,"Angela Lugo
@AngelaL21983554
·
4m
Replying to 
@pulte
Could use some help! Mom of 5, car just broke down this morning, need to get it fixed so my kids don’t miss school. Any help appreciated. $angelugo3",,0,
Taha Qureshi,@Taha2040Qureshi,2021-11-03T20:20:11.000Z,"Taha Qureshi
@Taha2040Qureshi
·
4m
Replying to 
@Alis_Navadiya_
 and 
@imVkohli
it was fixed  match, shame on India

#wellpaid  #WELLPAIDINDIA  #INDvsAFG",,0,
Intertainment Ki duniya,@Maanb3301,2021-11-03T20:20:10.000Z,"Intertainment Ki duniya
@Maanb3301
·
4m
Replying to 
@doitommi11
Totally Fixed Match. 
 Well Paid India",,0,
CookieCamo,@CookieCamoA,2021-11-03T20:20:10.000Z,"CookieCamo
@CookieCamoA
·
4m
Replying to 
@just_sharpwind
This is definitely not a fun day at all. You will be in my prayers tonight. I hope this gets fixed soon. ",,0,
Naveed Ahmed,@im_naviiii,2021-11-03T20:20:09.000Z,"Naveed Ahmed
@im_naviiii
·
4m
Replying to 
@sohaa_says
Match was Fixed.",,0,
ijaz ahmed,@IjazAhm37687910,2021-11-03T20:20:07.000Z,"ijaz ahmed
@IjazAhm37687910
·
4m
#INDvsAFG_match_fixed
Rashid Khan
@rashidkhan_19
 · Nov 2
I’m super excited about tomorrow’s AFGvIND game. I was disappointed at the scenes last weekend; we need to fly our national flag  high & do our country proud. Pls respect rules & support the organisers @ICC @T20WorldCup @AbuDhabiCricket, only coming to the stadium with a ticket",,0,
Taha Qureshi,@Taha2040Qureshi,2021-11-03T20:20:07.000Z,"Taha Qureshi
@Taha2040Qureshi
·
4m
Replying to 
@Mani100mph
 and 
@imVkohli
it was fixed  match, shame on India

#wellpaid  #WELLPAIDINDIA  #INDvsAFG
1",1,0,
• d-55,@diminiecakes,2021-11-03T20:20:07.000Z,"• d-55
@diminiecakes
·
4m
MY BATTERY FIXED",,0,
cooper,@Iunezone,2021-11-03T20:20:06.000Z,"cooper
@Iunezone
·
4m
Replying to 
@GDPro69
ITS OK THAT HAPPENS APPARENTLY!!!!! i hope you can get it fixed soon",,0,
Hamza Qamar,@hamzaqamar233,2021-11-03T20:20:06.000Z,"Hamza Qamar
@hamzaqamar233
·
4m
Replying to 
@shoaib100mph
Well Played #fixed Match Congratulations  india  #INDvsAFG 
#fixed
1",1,0,
Rizwan Sajid,@RizwanSajid8,2021-11-03T20:20:06.000Z,"Rizwan Sajid
@RizwanSajid8
·
4m
رشوت لینے اور دینے والے نہ جنت میں جائینگے اور نہ ہی سیمی فائنل میں 
#fixed  #INDvsAFG
1",,0,1
Nico rs,@NicolasOudinot1,2021-11-03T20:20:06.000Z,"Nico rs
@NicolasOudinot1
·
4m
Replying to 
@jasondebolt
They won’t fixed the problem that’s how they have jobs. Most of the donations goes to their administration first then the rest goes to the people in need (not much left).",,0,
K RATHORE,@KRATHOR10525756,2021-11-03T20:20:04.000Z,"K RATHORE
@KRATHOR10525756
·
4m
#fixed",,0,
lara,@_orangeblush,2021-11-03T20:20:04.000Z,"lara
@_orangeblush
·
4m
Replying to 
@leooolove
the way i never noticed i had photo tagging off  well it’s fixed now! also not the “i’m stuck” 
1",,0,1
Real_Gulfam...,@gulfam_chohan,2021-11-03T20:19:59.000Z,"Real_Gulfam...
@gulfam_chohan
·
4m
Replying to 
@DennisCricket_
Fixed..what ICC charter says about a fixed match..usually fixing is done with 2/3 players..but here the whole team was hired..
3",,0,3
SsR,@Shahzam74071751,2021-11-03T20:19:59.000Z,"SsR
@Shahzam74071751
·
4m
Replying to 
@BCCI
#fixed",,0,
Sheikh TAHA,@SheikhT34934658,2021-11-03T20:19:58.000Z,"Sheikh TAHA
@SheikhT34934658
·
4m
#fixed",,0,
Jannat Khan,@JannatK75808972,2021-11-03T20:19:58.000Z,"Jannat Khan
@JannatK75808972
·
4m
Replying to 
@ShoaibAyyub1
Because  it was a fixed match that's  why , they were  smiling",,0,
Jessica Brand,@JessicaDBrand,2021-11-03T20:19:58.000Z,"Jessica Brand
@JessicaDBrand
·
4m
Replying to 
@BaseballSpotlit
2020 certainly got close, yeah? Not quite home for the Rays or Dodgers, but certainly fixed site. As for the question you’ve posed itself, certainly yes. I advocate for using your best relievers in the highest expected leverage situation; may very well be when the game is tied.",,0,
Inam Mastaan,@inam_mastaan,2021-11-03T20:19:57.000Z,"Inam Mastaan
@inam_mastaan
·
4m
#fixed",,0,
cenk,@suckernigga,2021-11-03T20:19:57.000Z,"cenk
@suckernigga
·
4m
[3/11 19:53] Cenk: city maci
[3/11 19:53] Cenk: dep 0.5 üst %100 fixed
De Marke Sports
@demarkesports
 · 6m
 18'

 Manchester City 1-1 Club Brugge

 15' Foden
 17' Stones (k.k)
4",,0,4
M Jibran,@MJibran35651701,2021-11-03T20:19:57.000Z,"M Jibran
@MJibran35651701
·
4m
Replying to 
@BCCI
 and 
@imjadeja
India fixed kar Le Tum logon
Ne",,0,
Taha Qureshi,@Taha2040Qureshi,2021-11-03T20:19:56.000Z,"Taha Qureshi
@Taha2040Qureshi
·
4m
Replying to 
@Shaikpspk143
 and 
@imVkohli
it was fixed  match, shame on India

#wellpaid  #WELLPAIDINDIA  #INDvsAFG",,0,
Cloud ,@CreativeCloud2_,2021-11-03T20:19:56.000Z,"Cloud 
@CreativeCloud2_
·
4m
Also to add on to this I fixed it with the teacher as soon as I saw the grade was a 6- I just had to submit it in the right spot and he said he would update it-
She just doesn't care :/
Cloud 
@CreativeCloud2_
 · 17m
My mom literally just called me a Mistake :/
1",,0,1
Najeeb Khan Abbasi,@NajeebKAbbasi,2021-11-03T20:19:54.000Z,"Najeeb Khan Abbasi
@NajeebKAbbasi
·
4m
Zero % effort from Aghanistan players clearly show that #AFGvIND match is #fixed. 

What a Shameful 
#fixing",,0,
Johaan Joshua,@JohaanJoshua,2021-11-03T20:19:53.000Z,"Johaan Joshua
@JohaanJoshua
·
4m
Yeah, and somebody sabotaged a microwave yesterday just like the previous four that they stole money from me to purchase instead of fixing the electricity (which I also did 80%) so I fixed it today. They follow what they hear-->
The Megyn Kelly Show
@MegynKellyShow
 · 5h
""The building blocks of this movement has continued to snowball as parents have understood the influence that has been taught to their children...""

Salena Zito on CRT and what's been happening in America's schools. Watch below, and download here:
https://podcasts.apple.com/us/podcast/the-megyn-kelly-show/id1532976305…
1",,0,
Joan Judith,@jjbg2311,2021-11-03T20:19:46.000Z,"Joan Judith
@jjbg2311
·
4m
Replying to 
@stefaniellekil1
I guess is fixed now",,0,
Daniyal Qureshi,@Daniyal29711601,2021-11-03T20:19:46.000Z,"Daniyal Qureshi
@Daniyal29711601
·
4m
Replying to 
@memes0fpakistan
Musalmano key name pr dhoka ho tum log tum hai cricket nh play krni chaeye #Afghanistan #fixed  ",,0,
CoolSocialistGrandad election was fixed JC4PM,@cool_grandad,2021-11-03T20:19:45.000Z,"CoolSocialistGrandad election was fixed JC4PM
@cool_grandad
·
4m
Replying to 
@amisraelchai41
 @Roza_Shamina
 and 48 others
Why do you lie all the while.
Johnson's a liar, that's why anybody with any critical thinking skills, don't take any notice of him.
1",1,0,
Mr.BeaN,@MrBeaN35411836,2021-11-03T20:19:44.000Z,"Mr.BeaN
@MrBeaN35411836
·
4m
Match Was #fixed",,0,
Western Oklahoma Weather WOW,@WesternWow,2021-11-03T20:19:42.000Z,"Western Oklahoma Weather WOW
@WesternWow
·
4m
Replying to 
@pulte
Disabled veteran on a limited income,  trying to get this hole in my wall after my house fire fixed before winter hits. $westernokweather",,0,
Goldenretrievermom,@Goldenmom4729,2021-11-03T20:19:39.000Z,"Goldenretrievermom
@Goldenmom4729
·
4m
Replying to 
@JaredTheJerk01
Those deep passes were  dumb up 14–0. Wentz is at fault also for those plays because he had control at the line. But Reich is the head coach he should of had some more fixed run plays in there so it could not be changed and some simpler plays. Nor be chucking it deep.
1",1,0,
Bilal waheed,@Bilalwa69108363,2021-11-03T20:19:38.000Z,"Bilal waheed
@Bilalwa69108363
·
4m
#Wewil.. I think Dosent matter who Fixed or not today's match...  Both teams will never be able to qualify in semis...",,0,
Taha Qureshi,@Taha2040Qureshi,2021-11-03T20:19:36.000Z,"Taha Qureshi
@Taha2040Qureshi
·
5m
Replying to 
@NayanthaaraF
 and 
@imVkohli
it was fixed  match, shame on India

#wellpaid  #WELLPAIDINDIA  #INDvsAFG",,0,
Fetty Butchery,@fetty_anggra,2021-11-03T20:19:36.000Z,"Fetty Butchery
@fetty_anggra
·
5m
It. And be fixed. Relationship CANNOT.Its
My grammatically showy dark crack running down her leg. I felt
`
•ﻜٕوِدٓ•ٓ
$ﺧٕٓصٍٓم$
♕عبد الصمد القرشي ♕ H58
H58
40
21",,0,21
AG,@IrishAliG,2021-11-03T20:19:35.000Z,"AG
@IrishAliG
·
5m
Replying to 
@callie_mt
And then you have places like NY, where I can’t even bring a physical script in if I wanted to. Everything is e-transmitted. Which means I discover the incorrect script when I pick it up or it gets delivered, and spend hours on the backend getting it fixed.",,0,
Azhar Aftab,@Azhar_Aftab441,2021-11-03T20:19:34.000Z,"Azhar Aftab
@Azhar_Aftab441
·
5m
Afghanistan government ban cricket team for fixing the match against india 
#fixed 
#IndiavsAfghanistan 
@Zabehulah_M33
1",1,0,
Clean Green,@LawaKhan866,2021-11-03T20:19:33.000Z,"Clean Green
@LawaKhan866
·
5m
Well paid #Endia 
@harbhajan_singh
@imVkohli
@rashidkhan_19
@MohammadNabi007
#Afghanistan
#AFGVSIND
#fixed",,0,
Fariha Fayaz Ali,@Farihafayazali,2021-11-03T20:19:32.000Z,"Fariha Fayaz Ali
@Farihafayazali
·
5m
#INDvsAFG #fixed #shame #indiancricket #ICCT20WorldCup2021
چلیں افعانستان نے انڈیا کے ""احسانات"" کا کچھ تو بدلہ چکایا
2",,0,2
HaMza,@imhamzaa12,2021-11-03T20:19:32.000Z,"HaMza
@imhamzaa12
·
5m
Replying to 
@shoaib100mph
Afghanistan ko chahiaye tha k bowling k Duran apny sary fielders ko bahir betha dety ....ta k India asani se 500 runs bna leta

#fixed #fixerkings #shame 
#INDvsAFG #Fixing
From 
HaMza
1",1,0,
Bahroze Zafar,@SheikhBahrozeZ,2021-11-03T20:19:30.000Z,"Bahroze Zafar
@SheikhBahrozeZ
·
5m
#fixed #T20WorldCup21",,0,
Mortgage Broker Rob Campbell,@therobcampbell,2021-11-03T20:19:30.000Z,"Mortgage Broker Rob Campbell
@therobcampbell
·
5m
Remember that the 5.25% qualifying rate is currently the higher of the two options, other one being 200 BPS (2%) over the contract rate. So as soon as fixed rates go north of 3.25% that affordability starts to come down.
1",1,0,
Mortgage Broker Rob Campbell,@therobcampbell,2021-11-03T20:19:30.000Z,"Mortgage Broker Rob Campbell
@therobcampbell
·
5m
Depending on which fixed rate mortgage product you're looking at, it won't be long before the ""Stress Test"" bumps up higher.
Currently about 0.5% away from that happening. Seems like a lot, but we've basically seen that increase already in the last 3 weeks. 1/2
1",1,0,
Escorpio,@ScorpioBert,2021-11-03T20:19:29.000Z,"Escorpio
@ScorpioBert
·
5m
Replying to 
@HanaFris
I would have shot all of them in 4k, but I didn't have enough room in my internal storage, I've fixed that now ;)",,0,
Taha Qureshi,@Taha2040Qureshi,2021-11-03T20:19:29.000Z,"Taha Qureshi
@Taha2040Qureshi
·
5m
Replying to 
@Shababkochaii
 and 
@imVkohli
it was fixed  match, shame on India

#wellpaid  #WELLPAIDINDIA  #INDvsAFG",,0,
Ahmed Ali,@ahmedaliakber1,2021-11-03T20:19:28.000Z,"Ahmed Ali
@ahmedaliakber1
·
5m
#fixed #WELLPAIDINDIA",,0,
ChRoNicLe-Reb,@MatthewGoddard,2021-11-03T20:19:28.000Z,"ChRoNicLe-Reb
@MatthewGoddard
·
5m
@MGH
 loving the episode Matt!! You seem so much happier! This series restart with the fixed bugs and objectives is amazing! Loving it!",,0,
Adam Rosen,@arrosen76,2021-11-03T20:19:27.000Z,"Adam Rosen
@arrosen76
·
5m
Replying to 
@JakeSirkus
get your computer fixed sir
1",1,0,
Hadeed_Memon,@MemonHadeed,2021-11-03T20:19:23.000Z,"Hadeed_Memon
@MemonHadeed
·
5m
Today match ads screen on show our underground news for match fixed 
#fixed
1
3",,0,3
zubair butt,@zubair_butt711,2021-11-03T20:19:21.000Z,"zubair butt
@zubair_butt711
·
5m
Well paid team India.
#fixed #fixedmatch 
#WELLPAIDINDIA
@BCCI
 
@PMOIndia",,0,
JUST COOL,@shahid126722,2021-11-03T20:19:20.000Z,"JUST COOL
@shahid126722
·
5m
Replying to 
@imVkohli
AGF helping to IND semi final
 Fixed Fixed Fixed ",,0,
Taha Qureshi,@Taha2040Qureshi,2021-11-03T20:19:13.000Z,"Taha Qureshi
@Taha2040Qureshi
·
5m
Replying to 
@imVkohli
it was fixed  match, shame on India

#wellpaid  #WELLPAIDINDIA  #INDvsAFG",,0,
Nukta Cheen,@nukta_cheen,2021-11-03T20:19:13.000Z,"Nukta Cheen
@nukta_cheen
·
5m
Replying to 
@Hasnain54522035
10 wickets against Pak was fixed.  Is it ok??? 
Paisay lay apni dharti maa bech di tum ny. 
Now is it fine???",,0,
Dummy,@Dummy433,2021-11-03T20:19:11.000Z,"Dummy
@Dummy433
·
5m
Replying to 
@spinnertwt
that shit is gonna be fixed within a day
1",1,0,
jawad khan,@jawad77971061,2021-11-03T20:19:11.000Z,"jawad khan
@jawad77971061
·
5m
Replying to 
@IlhamKhanAfghan
 and 
@BCCI
Aja papa ko gand du beta #fixed",,0,
Asjad Jaffri,@Asjadjaffri110,2021-11-03T20:19:10.000Z,"Asjad Jaffri
@Asjadjaffri110
·
5m
#Fixed #match
Wel Paid #India",,0,
Adnan,@adnangondal,2021-11-03T20:19:10.000Z,"Adnan
@adnangondal
·
5m
#fixed",,0,
QamerNaweed,@naweed_qamer,2021-11-03T20:19:10.000Z,"QamerNaweed
@naweed_qamer
·
5m
Fixed
#fixed 
#IndiavsAfghanistan 
#ind
#afg
1",,0,1
Muhammad Aamir,@MAamir303,2021-11-03T20:19:09.000Z,"Muhammad Aamir
@MAamir303
·
5m
افغانستان نے جس طرح بھارت کو جیتنے میں مدد دی اس پر میں یہی کہوں گا کہ بھارت پھر بھی صرف اسی صورت سیمی فائنل میں پہنچ سکتا ہے اگر نیوزی لینڈ سیکیورٹی کا بہانہ بنا کر ٹورنامنٹ سے بھاگ جائے۔
#fixed",,0,
LS2K04,@swat5634,2021-11-03T20:19:08.000Z,"LS2K04
@swat5634
·
5m
Replying to 
@1stClassTrouble
Massive issues on PS, no cross gen playability, wont let me party up with my friends, and people in my party load into games without the rest of us. I respect the game is v1.0 and just been released but it’ll be nice if you fixed the game.",,0,
Hamza Qamar,@hamzaqamar233,2021-11-03T20:19:08.000Z,"Hamza Qamar
@hamzaqamar233
·
5m
Well Played #fixed Match Congratulations  india  #INDvsAFG 
#fixed",,0,
Idealist,@Idealis21234782,2021-11-03T20:19:07.000Z,"Idealist
@Idealis21234782
·
5m
Replying to 
@BCCI
 and 
@ImRo45
@ICC
 @T20WorldCup
 Everyone saw Afg vs Ind match was fixed with so many signs. Why you're not intervening and launching an inquiry. It's not fair for BCCI to just fix matches when they can't win naturally. 
@ICC
 Launch a probe against today's match.",,0,
Zain Hassan,@ZaiNi_72,2021-11-03T20:19:07.000Z,"Zain Hassan
@ZaiNi_72
·
5m
Rishwat deny wala.... or rishwat leny wala dono na Jannat main jyn gy...... or na hi Semifinals mn 
#FIXEDMATCHINDVSAFG 
#fixedmatch 
#fixed 
#indiancricket 
#IndiavsAghanistan",,0,
Afsheen Baloch,@AfsheenBaloch2,2021-11-03T20:19:06.000Z,"Afsheen Baloch
@AfsheenBaloch2
·
5m
پاکستان سے ہاریں تو روئیں ۔ انڈیا سے ہار کے ہنسی ختم نہیں ہو رہی۔
#fixed
1",,0,1
Ausaf Ali,@ausaf786143,2021-11-03T20:19:05.000Z,"Ausaf Ali
@ausaf786143
·
5m
Replying to 
@rashidkhan_19
 and 
@AbuDhabiCricket
Was match fixed today.",,0,
༆αв∂υℓℓαн彡,@Abdullah_24626,2021-11-03T20:19:05.000Z,"༆αв∂υℓℓαн彡
@Abdullah_24626
·
5m
india well paid 
#AFGVSIND #fixed",,0,
imane,@imanehrr,2021-11-03T20:19:04.000Z,"imane
@imanehrr
·
5m
Replying to 
@waterparks
Here... I fixed it for yuh
3",,0,3
Smile Craze,@dhamakisback,2021-11-03T20:18:59.000Z,"Smile Craze
@dhamakisback
·
6m
Replying to 
@ESPNcricinfo
#fixed or #fixing 

#paidtowin",,0,
OSAMA SID,@osamasid12_sid,2021-11-03T20:18:57.000Z,"OSAMA SID
@osamasid12_sid
·
6m
Afghanistan vs India fixed match  
asy to jeet nai sakty fixed kar k hi jeet sakty he",,0,
fuicat,@kelopedia,2021-11-03T20:18:57.000Z,"fuicat
@kelopedia
·
6m
Replying to 
@mattIovebot
fixed",,0,
Isanarte// COMMISSIONS OPEN,@IsaChocoMuffin,2021-11-03T20:18:55.000Z,"Isanarte// COMMISSIONS OPEN
@IsaChocoMuffin
·
6m
Replying to 
@STONEHlLL
Oh my god this is so  it looks great and i appreciate you fixed the woman's pose a big, now tiddy is 100% exposed
Great job!!! 
1
1",1,0,1
ijaz ahmed,@IjazAhm37687910,2021-11-03T20:18:55.000Z,"ijaz ahmed
@IjazAhm37687910
·
6m
#INDvAFGFixMatch 10000000000% fixed match what a sham I won’t watch cricket anymore",,0,
Limit 3 Days محمد نسیم ہاشم,@nafi_lv,2021-11-03T20:18:54.000Z,"Limit 3 Days محمد نسیم ہاشم
@nafi_lv
·
6m
Replying to 
@DennisCricket_
Fixed",,0,
Darren Sissons,@KiwiPMI,2021-11-03T20:18:51.000Z,"Darren Sissons
@KiwiPMI
·
6m
Corporate Treasury's will be very busy in 2022 as govt Covid guarantees roll-off  & normalized operations ensue. 

Debt financing, re-financing of expensive debt.... 

2022 will be a good year on a fixed income desk.
1",,0,1
Muhammad Arhum,@Muhamma16155656,2021-11-03T20:18:47.000Z,"Muhammad Arhum
@Muhamma16155656
·
6m
#fixed",,0,
Zaheer Babar,@Zaheerbabar572,2021-11-03T20:18:47.000Z,"Zaheer Babar
@Zaheerbabar572
·
6m
Congratulations India
At last India managed to well pay Afghanistan,
#INDvsAFG 
#Fixed 
#Fixing",,0,
mantasha sakeena,@Malikmajidma,2021-11-03T20:18:47.000Z,"mantasha sakeena
@Malikmajidma
·
6m
Deep pockets  #Afghanistan #fixed",,0,
WazirX,@WazirXCares,2021-11-03T20:18:47.000Z,"WazirX
@WazirXCares
·
6m
Replying to 
@vinodkumar0303
Hi Vinod! We're sorry for the hassle. Currently, UPI has been disabled temporarily for maintenance. Rest assured, we're working with our banking partners to get this fixed. We'll announce once enabled. We seek your kind co-operation and patience while we sort this out. Thanks!",,0,
Lithia,@UnicornyLithia,2021-11-03T20:18:44.000Z,"Lithia
@UnicornyLithia
·
6m
Replying to 
@KitDragonFlight
Hhaha XD I thought I did but it was a pinned post. All fixed <3",,0,
Alexander,@Alexand87742331,2021-11-03T20:18:42.000Z,"Alexander
@Alexand87742331
·
6m
#fixing #fixed",,0,
BeaRajput,@obhaimaafkaro,2021-11-03T20:18:33.000Z,"BeaRajput
@obhaimaafkaro
·
6m
Indian kis khushi main shokay ho rahy

#fixed #WELLPAIDINDIA
2",,0,2
Taha Qureshi,@Taha2040Qureshi,2021-11-03T20:18:32.000Z,"Taha Qureshi
@Taha2040Qureshi
·
6m
Replying to 
@imVkohli
it was fixed  match, shame on India

#WELLPAIDINDIA  #WellbeingWednesday",,0,
Izhar Virk,@itx__Izzo,2021-11-03T20:18:31.000Z,"Izhar Virk
@itx__Izzo
·
6m
سن لو یارو: رشوت لینے اور دینے والے نہ جنت میں جائینگے اور نہ ہی سیمی فائنل میں 
#fixed #Afghanistan #INDvsAFG",,0,
